,text,lemma,gender,number,animate,count
430,אפיקים,אפיק,Masc,Plur,False,476
431,אפליה,אפליה,Fem,Sing,False,4666
432,אפליות,אפליה,Fem,Plur,False,45
433,אפליית,אפליה,Fem,Sing,False,376
434,אפן,אפן,Masc,Sing,False,77
435,אפני,אפן,Masc,Plur,False,2
436,אפס,אפס,Masc,Sing,False,3034
437,אפסי,אפס,Masc,Plur,False,2
438,אפסים,אפס,Masc,Plur,False,416
439,אפתיה,אפתיה,Fem,Sing,False,25
440,אצבע,אצבע,Fem,Sing,False,2388
441,אצבע,אצבע,Masc,Sing,False,143
442,אצבעות,אצבע,Fem,Plur,False,3212
443,אצבעותי,אצבע,Fem,Plur,False,240
444,אקדח,אקדח,Masc,Sing,False,3660
445,אקדחי,אקדח,Masc,Plur,False,170
446,אקדחים,אקדח,Masc,Plur,False,841
447,אקט,אקט,Masc,Sing,False,767
448,אקטים,אקט,Masc,Plur,False,104
449,אקציה,אקציה,Fem,Sing,False,627
450,אקציות,אקציה,Fem,Plur,False,194
451,אקציית,אקציה,Fem,Sing,False,79
452,ארבה,ארבה,Fem,Sing,True,425
453,ארבה,ארבה,Masc,Sing,True,4
454,ארגון,ארגון,Masc,Sing,False,69856
455,ארגונ,ארגון,Masc,Sing,False,603
456,ארגונו,ארגון,Masc,Sing,False,25
457,ארגוני,ארגון,Masc,Plur,False,9552
458,ארגוני,ארגון,Masc,Sing,False,2
459,ארגונים,ארגון,Masc,Plur,False,16192
460,ארגז,ארגז,Masc,Sing,False,668
461,ארגזי,ארגז,Masc,Plur,False,222
462,ארגזים,ארגז,Masc,Plur,False,288
463,ארד,ארד,Masc,Sing,False,14577
464,ארדי,ארד,Masc,Sing,False,61
465,ארוהי,ארוה,Fem,Sing,False,2
466,ארוהי,ארוה,Masc,Sing,False,15
467,ארוזיה,ארוזיה,Fem,Sing,False,27
468,ארוחה,ארוחה,Fem,Sing,False,1684
469,ארוחות,ארוחה,Fem,Plur,False,1356
470,ארוחותי,ארוחה,Fem,Plur,False,21
471,ארוחת,ארוחה,Fem,Sing,False,2497
472,ארון,ארון,Masc,Sing,False,6288
473,ארונ,ארון,Masc,Sing,False,251
